Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,71.16,71.37,70.18,70.40,4485800,70.40
2013-12-31,71.80,71.97,71.30,71.57,2301600,71.57
2013-12-30,71.39,71.85,71.39,71.58,2513600,71.58
2013-12-27,71.35,71.99,71.31,71.56,2440400,71.56
2013-12-26,71.00,71.40,70.99,71.28,2371500,71.28
2013-12-24,70.56,71.29,70.56,70.98,1698200,70.98
2013-12-23,70.50,70.74,70.12,70.52,3847700,70.52
2013-12-20,69.95,70.87,69.77,70.06,14975500,70.06
2013-12-19,69.64,70.41,69.38,70.14,5950000,70.14
2013-12-18,67.12,69.69,67.12,69.69,10322500,69.69
2013-12-17,67.85,67.91,66.77,66.81,5943300,66.81
2013-12-16,67.65,68.36,67.44,67.79,4879600,67.79
2013-12-13,67.72,67.90,67.00,67.31,3883000,67.31
2013-12-12,68.28,68.30,67.48,67.57,4902100,67.57
2013-12-11,68.02,68.73,67.93,68.14,7185600,68.14
2013-12-10,66.60,68.60,66.23,67.99,9875700,67.99
2013-12-09,66.88,67.09,66.21,66.73,5023400,66.73
2013-12-06,66.32,66.97,66.27,66.75,4028600,66.75
2013-12-05,66.06,66.53,65.77,65.87,4088300,65.87
2013-12-04,66.48,66.66,65.45,66.12,5261300,66.12
