Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,124.46,124.88,123.71,124.14,4540300,124.14
2013-12-31,124.68,125.17,123.93,124.91,3475600,124.91
2013-12-30,124.79,125.21,123.90,124.23,4688500,124.23
2013-12-27,125.00,125.65,124.69,125.23,3455300,125.23
2013-12-26,123.60,124.99,123.55,124.81,3415200,124.81
2013-12-24,122.77,123.55,122.70,123.51,1587800,123.51
2013-12-23,123.41,123.59,122.63,122.80,4062400,122.80
2013-12-20,122.82,123.79,122.40,122.78,9455200,122.78
2013-12-19,121.57,123.40,121.06,123.22,6540600,123.22
2013-12-18,119.33,121.77,119.21,121.60,8206400,121.60
2013-12-17,120.12,120.23,118.25,118.74,6824000,118.74
2013-12-16,120.46,120.70,119.81,120.22,7304500,120.22
2013-12-13,120.44,121.14,119.38,119.90,5268100,119.90
2013-12-12,121.78,122.10,120.57,120.99,7221200,120.99
2013-12-11,123.82,123.89,121.80,122.10,7309900,122.10
2013-12-10,123.79,123.94,122.70,123.66,5602700,123.66
2013-12-09,122.27,123.88,122.16,123.34,7706500,123.34
2013-12-06,122.05,122.36,121.65,122.29,4179100,122.29
2013-12-05,121.27,122.00,120.71,121.10,4706800,121.10
2013-12-04,122.10,122.83,121.19,121.77,4391800,121.77
