Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,64.61,64.64,63.44,63.58,2282100,63.58
2013-12-31,64.40,64.86,64.34,64.69,1386300,64.69
2013-12-30,64.39,64.83,64.13,64.39,1229800,64.39
2013-12-27,64.59,64.70,64.13,64.41,957700,64.41
2013-12-26,64.65,64.88,64.10,64.43,1077100,64.43
2013-12-24,64.31,64.92,63.93,64.65,916800,64.65
2013-12-23,64.60,65.07,64.05,64.12,2215800,64.12
2013-12-20,64.82,64.95,64.26,64.55,3804600,64.55
2013-12-19,64.67,64.67,63.70,64.50,1766200,64.50
2013-12-18,63.99,64.85,63.13,64.78,2489000,64.78
2013-12-17,63.80,64.15,63.51,63.88,1759000,63.88
2013-12-16,63.65,64.42,63.58,63.86,1654400,63.86
2013-12-13,63.47,63.91,63.38,63.58,1918400,63.58
2013-12-12,63.18,63.87,63.09,63.50,2525300,63.50
2013-12-11,63.50,63.68,63.06,63.25,1889200,63.25
2013-12-10,63.73,63.84,63.00,63.50,2476500,63.50
2013-12-09,64.42,64.42,63.52,63.74,1638000,63.74
2013-12-06,63.86,64.73,63.75,64.42,1765000,64.42
2013-12-05,63.90,63.90,63.26,63.45,2452700,63.45
2013-12-04,63.85,64.36,63.44,64.13,2141900,64.13
