Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,27.26,28.05,27.26,27.70,11703400,27.70
2013-12-31,27.23,27.65,27.20,27.47,9152400,27.47
2013-12-30,26.94,27.38,26.89,27.19,7570900,27.19
2013-12-27,27.86,27.89,26.86,27.03,9960200,27.03
2013-12-26,27.86,27.98,27.59,27.88,6127500,27.88
2013-12-24,27.51,27.92,27.51,27.84,4899200,27.84
2013-12-23,27.77,27.89,27.46,27.57,7464900,27.57
2013-12-20,27.56,27.91,27.32,27.55,18881100,27.55
2013-12-19,27.39,27.72,27.31,27.51,11138500,27.51
2013-12-18,26.86,27.23,26.40,27.11,16441500,27.11
2013-12-17,27.95,27.96,26.90,26.94,17552300,26.94
2013-12-16,28.67,28.77,27.82,27.92,11246400,27.92
2013-12-13,28.40,28.78,28.25,28.37,11055000,28.37
2013-12-12,27.77,28.42,27.75,28.21,11555900,28.21
2013-12-11,28.85,29.05,27.65,27.66,16735900,27.66
2013-12-10,28.83,29.12,28.57,28.77,10638500,28.77
2013-12-09,28.26,28.95,28.20,28.88,11504500,28.88
2013-12-06,28.37,28.68,28.11,28.23,11333300,28.23
2013-12-05,27.63,28.01,27.62,27.94,13599600,27.94
2013-12-04,27.99,28.01,27.30,27.61,15919100,27.61
