Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,90.95,91.30,90.13,90.26,2462000,90.26
2013-12-31,90.98,91.49,90.70,91.33,1850900,91.33
2013-12-30,90.74,91.02,90.51,90.82,1659100,90.82
2013-12-27,90.89,91.21,90.36,90.70,2014000,90.70
2013-12-26,91.09,91.58,90.88,91.12,1971500,90.61
2013-12-24,90.79,91.36,90.68,90.86,1051300,90.35
2013-12-23,90.38,90.85,90.10,90.64,2271900,90.13
2013-12-20,89.56,90.19,89.54,90.08,4404800,89.58
2013-12-19,89.36,89.59,88.82,89.41,2517800,88.91
2013-12-18,88.49,89.47,88.03,89.41,3559400,88.91
2013-12-17,88.79,89.08,88.17,88.30,3097800,87.81
2013-12-16,87.59,89.19,87.58,88.87,4249700,88.37
2013-12-13,87.08,87.53,86.74,87.18,2353200,86.69
2013-12-12,87.05,87.57,86.65,86.84,2497500,86.35
2013-12-11,87.77,87.90,87.02,87.28,3873100,86.79
2013-12-10,87.26,88.89,87.26,88.04,5907900,87.55
2013-12-09,86.03,87.41,85.75,87.20,4939400,86.71
2013-12-06,85.65,85.85,84.93,85.32,2583800,84.84
2013-12-05,85.00,85.53,84.43,84.86,3427800,84.39
2013-12-04,82.53,86.72,82.31,85.38,11464400,84.90
