Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,55.79,56.00,55.14,55.36,2756600,55.36
2013-12-31,55.15,56.20,55.15,55.95,2405000,55.95
2013-12-30,54.60,55.12,54.60,55.07,1683700,55.07
2013-12-27,54.58,54.72,54.27,54.50,1072100,54.50
2013-12-26,54.63,54.91,54.37,54.60,2038300,54.60
2013-12-24,54.04,54.46,54.01,54.36,1152900,54.36
2013-12-23,54.33,54.33,53.78,54.02,1648300,54.02
2013-12-20,53.94,54.11,53.68,54.00,4133100,54.00
2013-12-19,54.28,54.45,53.70,53.90,2045500,53.90
2013-12-18,53.55,54.53,52.61,54.45,3576500,54.45
2013-12-17,53.87,53.90,53.07,53.35,2562100,53.35
2013-12-16,54.22,54.22,53.13,53.72,2557500,53.72
2013-12-13,52.93,53.37,52.62,53.02,2671800,53.02
2013-12-12,52.79,53.05,52.25,52.59,2729900,52.59
2013-12-11,52.55,53.46,52.55,52.68,4144200,52.68
2013-12-10,53.35,53.46,52.93,53.21,2412800,53.21
2013-12-09,52.91,53.58,52.88,53.47,2783300,53.47
2013-12-06,52.47,53.00,52.42,52.77,2229200,52.77
2013-12-05,52.05,52.29,51.78,51.92,2709500,51.92
2013-12-04,51.51,52.32,51.25,52.11,2793600,52.11
