Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,60.38,61.62,60.38,61.20,6018200,61.20
2013-12-31,60.92,61.09,60.14,60.32,1699800,60.32
2013-12-30,60.33,60.91,60.00,60.70,4348200,60.70
2013-12-27,61.19,61.49,60.07,60.11,1993900,60.11
2013-12-26,61.46,61.54,60.86,60.93,1756100,60.93
2013-12-24,61.37,61.95,61.37,61.47,826400,61.47
2013-12-23,60.25,61.64,60.13,61.59,7366000,61.59
2013-12-20,59.79,60.39,59.77,60.08,2391400,60.08
2013-12-19,59.90,60.06,59.50,59.56,1412000,59.56
2013-12-18,59.08,60.04,58.69,60.03,3335000,60.03
2013-12-17,59.61,59.85,58.88,59.03,2663500,59.03
2013-12-16,61.00,61.12,59.41,59.49,5043300,59.49
2013-12-13,60.83,61.11,60.12,60.48,2374800,60.48
2013-12-12,60.59,61.07,60.36,60.46,4342100,60.46
2013-12-11,60.78,61.82,60.76,61.31,4125100,61.31
2013-12-10,60.95,61.32,60.42,60.74,2634200,60.74
2013-12-09,60.17,61.20,60.17,61.08,5138000,61.08
2013-12-06,60.56,61.08,59.61,60.20,6322300,60.20
2013-12-05,58.31,60.25,58.25,59.81,11012700,59.81
2013-12-04,56.03,56.62,55.56,56.37,5009800,56.37
