Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,21.81,22.04,21.64,21.83,6127200,21.83
2013-12-31,22.02,22.35,21.94,22.32,6111300,22.32
2013-12-30,21.67,22.00,21.36,21.93,5684000,21.93
2013-12-27,21.55,21.73,21.38,21.67,4570400,21.67
2013-12-26,21.33,21.73,21.32,21.37,5170100,21.37
2013-12-24,21.05,21.58,20.77,21.29,3768200,21.29
2013-12-23,20.73,21.30,20.73,21.13,8671300,21.13
2013-12-20,20.11,20.63,20.11,20.58,8153600,20.58
2013-12-19,19.93,20.25,19.93,20.16,7487800,20.16
2013-12-18,19.35,20.30,19.07,20.11,15790400,20.11
2013-12-17,18.96,19.11,18.68,18.91,6291600,18.91
2013-12-16,19.05,19.47,19.00,19.15,3902900,19.15
2013-12-13,19.06,19.20,18.89,18.96,3759900,18.96
2013-12-12,18.93,19.18,18.83,18.99,5193500,18.99
2013-12-11,19.49,19.51,18.90,19.01,7448100,19.01
2013-12-10,19.62,20.14,19.47,19.53,6771200,19.53
2013-12-09,19.10,19.85,19.09,19.45,7182900,19.45
2013-12-06,19.12,19.34,18.94,19.08,4490200,19.08
2013-12-05,18.94,19.10,18.72,18.79,6756800,18.79
2013-12-04,18.92,19.33,18.74,19.08,7900600,19.08
