Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,76.66,77.01,76.10,76.45,2010400,76.45
2013-12-31,77.11,77.33,76.85,77.20,1054100,77.20
2013-12-30,76.99,77.13,76.62,76.82,971400,76.82
2013-12-27,77.17,77.39,76.79,77.05,835600,77.05
2013-12-26,77.00,77.06,76.76,76.92,1912800,76.92
2013-12-24,76.60,77.16,76.60,76.79,1071900,76.77
2013-12-23,76.96,77.32,76.44,76.74,2249300,76.72
2013-12-20,76.33,77.08,76.28,76.54,3428500,76.52
2013-12-19,76.54,76.67,75.98,76.58,2416400,76.56
2013-12-18,74.76,77.01,74.61,76.86,3326100,76.83
2013-12-17,75.50,75.73,74.54,74.76,2247600,74.74
2013-12-16,74.24,75.54,74.11,75.31,3493200,75.29
2013-12-13,74.27,74.39,73.65,74.01,2696800,73.99
2013-12-12,72.89,74.60,72.88,74.25,3969000,74.23
2013-12-11,75.13,75.33,73.66,73.93,3088700,73.91
2013-12-10,75.04,75.33,74.55,75.15,1827100,75.13
2013-12-09,75.62,75.78,75.02,75.38,2028100,75.36
2013-12-06,74.48,75.29,74.29,75.12,1833300,75.10
2013-12-05,73.24,74.05,73.04,73.64,1902400,73.62
2013-12-04,73.39,74.29,72.91,73.66,1867700,73.64
