Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,76.04,76.50,75.90,76.27,5200900,76.27
2013-12-31,76.28,76.50,75.81,76.40,4692300,76.40
2013-12-30,74.99,76.54,74.89,76.23,8578900,76.23
2013-12-27,74.65,74.78,73.93,74.35,3844800,74.35
2013-12-26,73.95,74.69,73.91,74.62,4620100,74.62
2013-12-24,73.25,73.86,73.25,73.85,2883600,73.85
2013-12-23,72.89,73.33,72.66,73.28,5621900,73.28
2013-12-20,73.10,73.56,72.34,72.40,12942100,72.40
2013-12-19,72.14,73.08,72.10,72.97,6768100,72.97
2013-12-18,70.96,72.20,70.14,72.20,7936800,72.20
2013-12-17,70.69,70.91,69.83,70.66,6829100,70.66
2013-12-16,69.91,70.85,69.91,70.51,6246600,70.51
2013-12-13,69.90,70.13,69.28,69.62,5784300,69.62
2013-12-12,69.28,70.02,68.80,69.63,8756300,69.63
2013-12-11,71.73,72.13,70.43,70.52,9519200,69.66
2013-12-10,70.91,71.65,70.90,71.57,7112200,70.70
2013-12-09,71.36,71.48,70.92,71.11,6477100,70.24
2013-12-06,70.97,71.49,70.77,71.46,5542000,70.59
2013-12-05,70.29,70.68,70.08,70.23,5587000,69.37
2013-12-04,69.42,70.48,69.32,69.97,4883800,69.12
