Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,90.21,90.25,88.60,89.10,893500,89.10
2013-12-31,90.76,90.76,89.60,90.42,818800,90.42
2013-12-30,89.00,90.55,88.84,90.46,742100,90.46
2013-12-27,89.00,89.26,88.56,88.95,582200,88.95
2013-12-26,88.91,89.12,87.97,88.69,925400,88.69
2013-12-24,88.22,89.15,88.15,88.87,392400,88.87
2013-12-23,87.98,88.75,87.96,88.42,969300,88.42
2013-12-20,86.67,88.50,86.03,87.75,2636500,87.75
2013-12-19,85.82,86.70,85.60,86.32,1159500,86.32
2013-12-18,83.68,86.46,83.67,86.29,1437300,86.29
2013-12-17,83.81,83.90,82.93,83.71,892500,83.71
2013-12-16,83.23,84.53,82.82,84.04,1178600,84.04
2013-12-13,81.69,83.55,81.69,82.45,931600,82.45
2013-12-12,84.27,84.45,82.88,82.94,1024900,82.94
2013-12-11,86.02,86.87,84.29,84.53,1548300,84.53
2013-12-10,85.28,86.23,84.75,85.17,891600,85.17
2013-12-09,85.48,85.72,83.69,85.41,1717000,85.41
2013-12-06,85.09,85.15,84.16,85.06,1161600,85.06
2013-12-05,84.18,84.82,83.52,83.99,1097900,83.99
2013-12-04,84.78,85.37,83.66,84.18,1382200,84.18
