Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,59.64,60.00,58.95,59.42,747000,59.42
2013-12-31,59.92,60.21,59.66,60.13,702000,60.13
2013-12-30,59.70,60.16,59.58,59.84,667200,59.84
2013-12-27,60.21,60.32,59.62,59.83,527800,59.83
2013-12-26,60.21,60.42,59.92,60.05,946300,60.05
2013-12-24,59.67,60.19,59.61,59.99,623500,59.99
2013-12-23,58.94,59.60,58.72,59.44,1373400,59.44
2013-12-20,59.11,59.20,58.30,58.35,2980400,58.35
2013-12-19,60.10,60.21,58.88,58.97,1348900,58.97
2013-12-18,59.80,60.21,58.73,60.13,2433100,60.13
2013-12-17,59.54,60.27,59.34,59.81,1897000,59.81
2013-12-16,58.86,59.71,58.86,59.63,1266700,59.63
2013-12-13,58.19,58.93,58.05,58.60,1475900,58.60
2013-12-12,57.50,58.14,57.49,57.87,700200,57.87
2013-12-11,58.73,59.03,57.43,57.65,1406700,57.65
2013-12-10,57.98,59.18,57.63,59.12,2132300,59.12
2013-12-09,58.66,59.33,58.12,58.24,1579700,58.24
2013-12-06,58.37,58.75,57.86,58.44,1794900,58.44
2013-12-05,57.26,58.27,57.26,57.48,1813900,57.48
2013-12-04,56.85,57.75,56.69,57.47,1846600,57.47
