Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,16.31,16.40,16.14,16.32,5148300,16.32
2013-12-31,16.30,16.55,16.19,16.43,3339900,16.43
2013-12-30,16.55,16.69,16.27,16.28,3579700,16.28
2013-12-27,16.40,16.68,16.37,16.55,2673800,16.55
2013-12-26,16.37,16.52,16.25,16.37,2984700,16.37
2013-12-24,16.32,16.42,16.25,16.39,1145800,16.39
2013-12-23,16.31,16.53,16.22,16.28,3885000,16.28
2013-12-20,16.37,16.45,16.17,16.18,7849200,16.18
2013-12-19,16.03,16.56,15.97,16.42,6211500,16.42
2013-12-18,16.02,16.24,15.81,16.15,6231600,16.15
2013-12-17,16.11,16.15,15.93,15.99,4157500,15.99
2013-12-16,16.01,16.16,15.87,16.13,4778600,16.13
2013-12-13,15.99,16.03,15.62,15.98,5857200,15.98
2013-12-12,16.10,16.14,15.83,16.00,5731300,16.00
2013-12-11,16.23,16.30,15.98,16.04,6404300,16.04
2013-12-10,16.21,16.66,16.18,16.19,5134300,16.19
2013-12-09,16.26,16.33,16.02,16.17,5119600,16.17
2013-12-06,16.68,16.68,16.17,16.27,4923200,16.27
2013-12-05,16.56,16.59,16.40,16.49,3885300,16.49
2013-12-04,16.75,16.77,16.43,16.60,5251800,16.60
