Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,96.54,96.74,94.93,95.25,647800,95.25
2013-12-31,96.57,97.00,96.14,96.54,421600,96.54
2013-12-30,96.31,96.57,96.12,96.38,385800,96.38
2013-12-27,96.40,96.47,95.90,96.32,321800,96.32
2013-12-26,95.70,96.48,95.67,96.12,325600,96.12
2013-12-24,94.81,95.71,94.80,95.48,174900,95.48
2013-12-23,95.15,95.50,94.80,94.87,797500,94.87
2013-12-20,93.17,94.62,92.85,94.56,1385500,94.56
2013-12-19,91.80,93.23,91.30,93.17,1130100,93.17
2013-12-18,91.51,91.97,89.76,91.91,1054400,91.91
2013-12-17,92.02,92.15,91.13,91.21,869400,91.21
2013-12-16,90.06,92.02,89.91,91.71,765300,91.71
2013-12-13,89.76,90.29,89.28,89.59,621000,89.59
2013-12-12,89.56,89.95,89.39,89.66,745600,89.66
2013-12-11,90.82,90.87,89.37,89.47,710300,89.47
2013-12-10,91.31,91.57,90.77,90.87,802800,90.87
2013-12-09,91.71,92.05,91.17,91.35,789200,91.35
2013-12-06,90.79,91.66,90.55,91.65,725700,91.65
2013-12-05,88.27,89.97,88.16,89.72,1147800,89.72
2013-12-04,88.92,89.66,88.22,88.41,1511600,88.41
