Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,44.20,44.38,43.76,43.87,6494900,43.87
2013-12-31,44.63,44.70,44.25,44.40,7920600,44.40
2013-12-30,44.40,44.70,44.32,44.60,5971600,44.60
2013-12-27,44.50,44.81,44.43,44.60,6081300,44.60
2013-12-26,44.58,44.99,44.34,44.86,6526100,44.54
2013-12-24,44.00,44.44,43.94,44.42,2765300,44.10
2013-12-23,44.04,44.49,43.87,43.88,6182100,43.57
2013-12-20,43.96,44.32,43.61,43.78,11715600,43.47
2013-12-19,43.15,44.57,43.06,43.90,13246900,43.59
2013-12-18,42.29,43.56,42.25,43.51,15458200,43.20
2013-12-17,41.59,42.30,41.58,42.20,14160700,41.90
2013-12-16,41.62,41.97,41.27,41.60,10935500,41.30
2013-12-13,40.97,41.68,40.68,41.52,13448200,41.22
2013-12-12,40.95,40.98,40.26,40.76,7022200,40.47
2013-12-11,41.87,41.95,40.95,41.05,11718500,40.76
2013-12-10,40.61,42.00,40.52,41.78,15417700,41.48
2013-12-09,39.29,40.81,39.27,40.80,13952900,40.51
2013-12-06,39.11,39.45,38.99,39.27,5974000,38.99
2013-12-05,38.83,39.01,38.42,38.61,6928300,38.33
2013-12-04,38.58,39.23,38.58,38.89,9832200,38.61
