Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,54.18,54.34,53.30,53.32,1782700,53.32
2013-12-31,54.46,54.70,54.16,54.37,719500,54.37
2013-12-30,54.28,54.83,54.08,54.47,967100,54.47
2013-12-27,54.65,54.85,54.16,54.33,755700,54.33
2013-12-26,54.02,54.41,53.92,54.32,894300,54.32
2013-12-24,54.25,54.47,53.99,54.01,1277300,54.01
2013-12-23,52.00,54.89,51.45,54.35,5610400,54.35
2013-12-20,50.97,51.09,50.53,51.09,4305000,51.09
2013-12-19,51.79,51.82,49.35,51.02,14856700,51.02
2013-12-18,52.46,52.93,52.14,52.92,2037800,52.92
2013-12-17,52.25,53.00,51.96,52.33,1635700,52.33
2013-12-16,51.74,52.75,51.70,52.29,1915500,52.29
2013-12-13,51.58,51.72,51.32,51.63,1084400,51.63
2013-12-12,51.51,51.67,50.69,51.38,1078000,51.38
2013-12-11,51.76,51.98,51.16,51.47,2148100,51.47
2013-12-10,52.21,52.38,51.72,51.83,994400,51.83
2013-12-09,52.43,52.68,52.08,52.28,1119300,52.28
2013-12-06,52.45,52.75,52.38,52.48,1029400,52.48
2013-12-05,52.24,52.49,51.94,52.06,734800,52.06
2013-12-04,52.09,52.48,51.85,52.22,1374100,52.22
