Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,66.40,66.44,65.22,65.26,1415300,65.26
2013-12-31,66.32,66.50,65.88,66.39,1902700,66.39
2013-12-30,66.28,66.65,65.98,66.32,866600,66.32
2013-12-27,66.12,66.52,65.89,66.36,740800,66.36
2013-12-26,66.60,66.67,65.92,66.16,619300,66.16
2013-12-24,66.46,66.84,66.02,66.68,374000,66.68
2013-12-23,66.83,67.02,66.36,66.55,836600,66.55
2013-12-20,65.71,67.42,65.70,66.61,2240300,66.61
2013-12-19,65.95,65.98,64.99,65.60,1210500,65.60
2013-12-18,65.25,66.28,64.52,66.15,1446000,66.15
2013-12-17,65.95,65.99,65.04,65.28,1902400,65.28
2013-12-16,65.50,66.33,65.42,66.05,921600,66.05
2013-12-13,65.55,65.72,65.23,65.36,509000,65.36
2013-12-12,65.35,66.08,65.21,65.36,1079200,65.36
2013-12-11,66.65,66.66,65.66,66.00,1637600,65.35
2013-12-10,67.12,67.14,66.60,66.63,1398400,65.97
2013-12-09,67.54,67.59,66.88,67.22,1021700,66.55
2013-12-06,66.64,67.65,66.63,67.61,1014500,66.94
2013-12-05,66.71,66.83,66.29,66.38,951600,65.72
2013-12-04,66.50,66.94,66.16,66.83,816600,66.17
