Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,68.84,69.31,68.60,68.95,3264300,68.95
2013-12-31,68.63,69.15,68.31,69.06,2262600,69.06
2013-12-30,67.96,68.46,67.66,68.40,2070000,68.40
2013-12-27,67.34,67.91,67.20,67.82,1999700,67.82
2013-12-26,67.78,67.78,66.81,67.39,1434400,67.39
2013-12-24,66.66,67.70,66.52,67.47,1421400,67.47
2013-12-23,66.75,66.99,66.45,66.67,2054800,66.67
2013-12-20,66.07,67.16,65.83,66.28,10325800,66.28
2013-12-19,66.24,66.77,65.76,65.93,3285700,65.93
2013-12-18,65.71,66.66,65.02,66.49,4497800,66.49
2013-12-17,65.71,66.02,64.79,65.37,6041400,65.37
2013-12-16,66.75,67.28,65.72,65.75,5128100,65.75
2013-12-13,67.38,67.72,66.61,66.63,3342200,66.63
2013-12-12,67.33,68.86,66.63,67.02,4995000,67.02
2013-12-11,68.07,68.25,66.74,66.92,3070800,66.92
2013-12-10,67.65,68.09,67.50,67.97,3771700,67.97
2013-12-09,66.85,68.43,66.60,67.90,4606200,67.90
2013-12-06,66.10,67.56,65.78,66.44,2915900,66.44
2013-12-05,65.49,65.84,65.00,65.38,2755800,65.38
2013-12-04,65.90,66.81,64.62,65.75,5465900,65.75
