Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,61.69,61.84,60.92,61.16,2056900,61.16
2013-12-31,61.84,62.19,61.38,61.87,2336400,61.87
2013-12-30,61.75,62.40,61.56,61.80,2724100,61.80
2013-12-27,61.42,61.88,61.13,61.69,1472900,61.69
2013-12-26,61.16,61.46,60.60,61.12,2125300,61.12
2013-12-24,60.74,61.45,60.59,61.26,847800,61.26
2013-12-23,61.31,61.85,60.71,60.81,1940000,60.81
2013-12-20,60.94,61.11,60.13,60.94,3954400,60.94
2013-12-19,59.35,61.12,59.15,60.75,3620000,60.75
2013-12-18,59.70,59.88,58.03,59.34,4353500,59.34
2013-12-17,60.26,60.28,59.60,59.65,3026400,59.65
2013-12-16,59.62,60.56,59.54,60.40,2800500,60.40
2013-12-13,59.43,59.87,59.00,59.22,3039700,59.22
2013-12-12,59.80,60.30,59.39,59.42,2967000,59.42
2013-12-11,60.40,60.55,59.30,59.57,3354600,59.57
2013-12-10,60.48,61.51,60.45,60.82,3200800,60.60
2013-12-09,60.68,60.99,60.13,60.70,2434800,60.48
2013-12-06,61.84,61.90,60.18,60.48,3129000,60.26
2013-12-05,60.61,61.90,60.43,61.36,3845900,61.14
2013-12-04,61.26,61.80,60.77,60.81,3597300,60.59
