Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,103.58,104.42,103.41,103.79,814900,103.79
2013-12-31,104.29,104.44,103.87,104.27,898800,104.27
2013-12-30,104.37,104.54,103.95,104.11,792600,104.11
2013-12-27,105.09,105.30,104.33,104.47,502300,104.47
2013-12-26,105.03,105.07,104.35,104.70,687000,104.70
2013-12-24,104.13,104.97,103.84,104.93,369700,104.93
2013-12-23,105.05,105.05,103.86,104.28,871000,104.28
2013-12-20,102.65,104.56,102.55,104.24,1598300,104.24
2013-12-19,103.68,104.00,102.81,102.95,922900,102.95
2013-12-18,102.39,104.11,101.70,104.08,1090100,104.08
2013-12-17,102.68,102.69,101.38,102.06,1565000,102.06
2013-12-16,102.84,102.97,101.99,102.10,1235500,102.10
2013-12-13,102.89,103.30,102.44,102.58,822400,102.58
2013-12-12,103.22,103.56,102.75,102.84,1143900,102.56
2013-12-11,105.02,105.25,103.23,103.24,1115900,102.96
2013-12-10,105.23,106.05,104.90,105.05,1078500,104.77
2013-12-09,106.33,106.34,105.15,105.76,1247500,105.48
2013-12-06,104.30,105.73,103.92,105.69,1500300,105.41
2013-12-05,103.23,103.68,102.63,103.05,1213400,102.77
2013-12-04,103.34,103.98,102.55,103.41,1217800,103.13
