Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,46.06,46.49,45.41,45.43,2415000,45.43
2013-12-31,46.24,46.51,46.14,46.30,1140700,46.30
2013-12-30,45.92,46.33,45.92,46.29,1909600,46.29
2013-12-27,45.81,46.20,45.72,45.97,816900,45.97
2013-12-26,46.54,46.65,46.01,46.16,915300,45.80
2013-12-24,46.03,46.75,45.93,46.53,629400,46.17
2013-12-23,46.69,46.82,46.09,46.14,1765500,45.79
2013-12-20,46.25,46.98,46.22,46.58,3111000,46.22
2013-12-19,46.01,46.19,45.41,46.12,2140100,45.77
2013-12-18,45.57,46.12,45.16,46.08,2693900,45.73
2013-12-17,45.85,46.01,45.45,45.63,1595700,45.28
2013-12-16,45.81,46.25,45.80,45.96,1410200,45.61
2013-12-13,45.59,45.85,45.45,45.68,1487500,45.33
2013-12-12,45.31,45.78,45.09,45.45,2391200,45.10
2013-12-11,45.58,45.63,44.97,45.23,2632300,44.88
2013-12-10,46.12,46.22,45.40,45.49,2850400,45.14
2013-12-09,45.90,46.33,45.87,46.22,1792900,45.86
2013-12-06,45.69,46.07,45.53,45.89,3734100,45.54
2013-12-05,45.84,45.86,45.21,45.40,2160300,45.05
2013-12-04,45.74,46.28,45.63,46.03,1292200,45.68
