Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,74.99,75.10,73.56,73.71,1070100,73.71
2013-12-31,75.39,75.55,74.96,75.32,704300,75.32
2013-12-30,74.45,75.18,74.36,75.04,683900,75.04
2013-12-27,74.65,75.04,74.13,74.45,698600,74.45
2013-12-26,74.60,74.93,74.19,74.64,564700,74.64
2013-12-24,74.79,74.88,74.23,74.62,295400,74.62
2013-12-23,74.82,75.14,74.20,74.76,1040500,74.76
2013-12-20,73.28,75.06,73.28,74.35,1165700,74.35
2013-12-19,73.80,74.28,73.65,73.91,687800,73.91
2013-12-18,72.71,74.06,72.30,74.00,1431100,74.00
2013-12-17,73.08,73.27,72.34,72.75,1040800,72.75
2013-12-16,73.01,73.42,72.49,73.16,973100,73.16
2013-12-13,73.05,73.16,71.45,72.64,1370700,72.64
2013-12-12,73.56,73.56,72.29,73.07,1657500,73.07
2013-12-11,73.73,74.55,73.62,73.82,1406200,73.82
2013-12-10,73.60,73.83,73.03,73.60,862500,73.60
2013-12-09,73.97,74.35,73.48,73.89,659800,73.89
2013-12-06,73.41,73.96,73.34,73.71,836400,73.71
2013-12-05,73.01,73.29,72.62,72.73,1901600,72.73
2013-12-04,73.92,74.10,72.56,73.10,2279000,73.10
