Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,25.03,25.20,25.00,25.07,19826900,25.07
2013-12-31,25.07,25.20,25.02,25.15,14543700,25.15
2013-12-30,24.99,25.17,24.98,25.06,15239100,25.06
2013-12-27,25.00,25.23,24.94,25.00,23551600,25.00
2013-12-26,25.05,25.08,24.85,25.02,18769800,25.02
2013-12-24,25.06,25.20,24.92,25.01,15922000,25.01
2013-12-23,24.62,25.07,24.56,25.07,41438700,25.07
2013-12-20,24.10,24.72,24.09,24.54,41453900,24.54
2013-12-19,23.55,24.08,23.53,24.02,26901000,24.02
2013-12-18,23.47,23.63,23.16,23.61,34915100,23.61
2013-12-17,23.66,23.90,23.44,23.53,23023700,23.53
2013-12-16,23.42,23.75,23.39,23.70,31203900,23.70
2013-12-13,23.26,23.40,23.19,23.30,26102400,23.30
2013-12-12,23.25,23.35,23.15,23.15,23394100,23.15
2013-12-11,23.62,23.63,23.26,23.33,20912700,23.33
2013-12-10,23.65,23.72,23.47,23.60,26397600,23.60
2013-12-09,24.01,24.09,23.59,23.68,28414100,23.68
2013-12-06,24.03,24.16,23.91,24.00,22825300,24.00
2013-12-05,23.78,24.14,23.77,23.90,22411000,23.90
2013-12-04,23.60,23.85,23.56,23.82,24559600,23.82
