Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,80.31,80.53,79.88,80.28,1612900,80.28
2013-12-31,79.88,80.84,79.84,80.70,2192500,80.70
2013-12-30,78.99,79.93,78.88,79.90,1547900,79.90
2013-12-27,79.00,79.44,78.87,79.06,839200,79.06
2013-12-26,78.30,79.03,78.30,78.97,1650100,78.97
2013-12-24,77.01,78.24,77.01,78.22,1063600,78.22
2013-12-23,76.50,77.15,76.11,77.05,1611800,77.05
2013-12-20,75.40,76.63,75.24,75.93,3920200,75.93
2013-12-19,74.57,75.43,74.37,75.01,2837400,75.01
2013-12-18,74.07,74.83,73.25,74.64,2012100,74.64
2013-12-17,73.75,74.27,73.30,74.03,3408600,74.03
2013-12-16,73.26,74.02,73.21,73.43,1784300,73.43
2013-12-13,74.54,74.54,72.62,72.67,2751300,72.67
2013-12-12,74.10,74.54,73.80,73.86,1930900,73.86
2013-12-11,75.50,75.50,74.44,74.55,1659800,74.20
2013-12-10,75.24,75.76,75.02,75.31,1476400,74.96
2013-12-09,76.22,76.24,75.14,75.36,1455300,75.01
2013-12-06,75.50,76.56,75.11,76.21,1321100,75.85
2013-12-05,74.30,75.18,74.13,74.31,1351000,73.96
2013-12-04,74.79,75.41,74.13,74.58,1384600,74.23
