Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,166.57,167.96,164.06,165.02,1471700,165.02
2013-12-31,167.34,168.85,166.47,167.84,1054900,167.84
2013-12-30,168.95,170.50,166.20,167.35,1405700,167.35
2013-12-27,168.14,169.48,167.68,169.16,842600,169.16
2013-12-26,168.46,169.54,167.67,168.02,886100,168.02
2013-12-24,167.82,168.27,166.23,168.26,489100,168.26
2013-12-23,169.26,169.84,166.83,167.62,1494100,167.62
2013-12-20,166.12,169.32,165.45,168.52,3132900,168.52
2013-12-19,161.67,165.91,161.18,165.33,2536800,165.33
2013-12-18,159.64,162.38,158.33,162.00,2982700,162.00
2013-12-17,160.52,160.52,157.51,159.65,1735900,159.65
2013-12-16,159.34,161.97,159.34,159.74,2060100,159.74
2013-12-13,157.67,159.35,156.49,159.02,2244300,159.02
2013-12-12,156.43,159.32,156.24,158.36,1906500,158.36
2013-12-11,158.85,159.14,156.01,156.26,2104500,156.26
2013-12-10,158.43,161.94,158.14,159.31,2277200,159.31
2013-12-09,160.92,161.25,156.31,158.14,4273700,158.14
2013-12-06,166.95,167.10,159.89,160.04,3671600,160.04
2013-12-05,165.34,167.74,164.16,165.38,2236900,165.38
2013-12-04,165.60,169.11,165.50,167.13,1875700,167.13
