Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,51.74,52.31,51.55,51.99,1520600,51.99
2013-12-31,52.02,52.31,51.72,51.87,1676400,51.87
2013-12-30,51.82,52.24,51.76,52.06,1265600,52.06
2013-12-27,51.78,51.97,51.47,51.84,1290300,51.84
2013-12-26,51.79,52.02,51.57,51.76,1750700,51.76
2013-12-24,51.25,51.66,51.20,51.51,869200,51.51
2013-12-23,52.05,52.31,51.63,51.85,1706100,51.20
2013-12-20,51.79,52.12,51.64,51.96,2570600,51.31
2013-12-19,52.47,52.64,51.61,52.04,1641600,51.39
2013-12-18,51.70,52.51,50.89,52.50,2711500,51.84
2013-12-17,51.75,51.89,51.34,51.62,1949100,50.97
2013-12-16,52.28,52.39,51.89,51.91,1785000,51.26
2013-12-13,52.50,52.72,51.88,52.21,2020800,51.56
2013-12-12,52.99,53.50,52.44,52.45,2765200,51.79
2013-12-11,53.89,53.98,53.05,53.14,3287200,52.47
2013-12-10,53.47,54.05,53.27,54.00,3630700,53.32
2013-12-09,52.99,53.51,52.99,53.48,1856200,52.81
2013-12-06,52.96,53.32,52.57,53.16,1860800,52.49
2013-12-05,52.93,53.09,52.25,52.62,1904900,51.96
2013-12-04,51.57,53.83,51.44,52.93,6087300,52.27
