Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,70.00,70.41,69.77,69.96,2895400,69.96
2013-12-31,70.41,70.51,70.00,70.24,2009300,70.24
2013-12-30,70.40,70.56,69.91,70.19,2387000,70.19
2013-12-27,70.41,70.79,70.21,70.60,3162100,70.60
2013-12-26,69.76,70.26,69.65,70.13,3676300,70.13
2013-12-24,69.80,69.94,69.29,69.52,1143800,69.52
2013-12-23,69.40,70.00,69.07,69.98,3281300,69.98
2013-12-20,68.20,69.16,67.91,68.96,8623500,68.96
2013-12-19,67.98,67.98,67.20,67.89,3664000,67.89
2013-12-18,66.91,68.00,66.48,67.98,4665800,67.98
2013-12-17,67.20,67.21,66.59,66.89,3918600,66.89
2013-12-16,66.98,67.46,66.69,67.41,2971300,67.41
2013-12-13,67.38,67.57,66.41,66.62,3683300,66.62
2013-12-12,67.03,67.35,66.54,66.71,3701000,66.71
2013-12-11,67.51,67.72,67.17,67.24,4987700,67.24
2013-12-10,67.41,68.52,67.40,67.73,4896100,67.73
2013-12-09,67.30,67.33,66.86,67.16,3141000,67.16
2013-12-06,67.56,67.64,66.90,66.95,3243200,66.95
2013-12-05,67.01,67.27,66.48,66.77,4294600,66.77
2013-12-04,66.51,67.40,66.15,67.18,4877100,67.18
