Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,57.13,57.44,56.50,56.57,1689300,56.57
2013-12-31,56.80,57.24,56.61,57.18,1283800,57.18
2013-12-30,56.60,56.90,56.40,56.61,1448800,56.61
2013-12-27,56.12,56.66,56.00,56.59,1257000,56.59
2013-12-26,56.37,56.48,55.85,55.94,1331600,55.94
2013-12-24,54.87,56.50,54.85,56.08,1428500,56.08
2013-12-23,55.25,55.45,54.66,54.83,2658700,54.83
2013-12-20,55.22,55.75,54.93,54.98,8397200,54.98
2013-12-19,55.85,56.03,55.10,55.51,3926900,55.51
2013-12-18,57.66,57.71,55.42,56.07,6695200,56.07
2013-12-17,58.50,58.64,57.50,58.02,1746500,58.02
2013-12-16,58.14,58.82,57.95,58.65,2273500,58.65
2013-12-13,58.07,58.24,57.47,57.65,1513800,57.65
2013-12-12,57.99,58.37,57.15,58.08,2303200,58.08
2013-12-11,59.10,59.41,57.76,57.91,1937000,57.91
2013-12-10,59.60,59.82,58.94,59.26,1405100,59.26
2013-12-09,58.95,60.28,58.70,59.78,2294000,59.78
2013-12-06,59.39,59.72,58.61,59.05,2038000,59.05
2013-12-05,59.49,59.49,58.71,59.04,2237100,59.04
2013-12-04,59.30,60.41,58.98,60.19,2299700,59.44
