Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,63.35,63.39,61.71,61.84,1206600,61.84
2013-12-31,63.33,63.55,63.00,63.27,965800,63.27
2013-12-30,63.13,63.44,62.94,63.32,1152600,63.32
2013-12-27,62.48,62.87,62.37,62.83,731400,62.83
2013-12-26,62.63,62.97,62.27,62.37,583200,62.37
2013-12-24,62.49,63.08,62.36,62.73,395900,62.73
2013-12-23,62.74,63.08,62.28,62.54,1269000,62.54
2013-12-20,61.69,62.57,61.67,62.49,2855400,62.49
2013-12-19,62.00,62.12,61.13,61.56,986300,61.56
2013-12-18,61.53,62.42,60.77,62.21,1223000,62.21
2013-12-17,61.72,61.90,61.31,61.65,1209000,61.65
2013-12-16,61.29,62.16,61.28,61.89,1673600,61.89
2013-12-13,61.28,61.43,60.57,61.20,1242400,61.20
2013-12-12,60.85,61.67,60.84,61.22,1548900,61.22
2013-12-11,60.64,61.28,60.42,60.85,2492400,60.85
2013-12-10,62.11,62.20,60.22,61.30,4628900,61.30
2013-12-09,62.81,62.99,62.12,62.40,1317200,62.40
2013-12-06,62.56,63.34,62.40,63.01,1163100,63.01
2013-12-05,62.03,62.29,61.75,62.24,1215200,62.24
2013-12-04,61.67,62.39,61.60,62.16,987900,62.16
