Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,44.31,44.48,43.34,43.49,782900,43.49
2013-12-31,44.37,44.48,44.03,44.25,561900,44.25
2013-12-30,44.16,44.26,44.03,44.15,427300,44.15
2013-12-27,43.70,44.20,43.57,44.16,817300,44.16
2013-12-26,43.55,43.71,43.42,43.63,478600,43.63
2013-12-24,43.72,43.85,43.35,43.47,303300,43.47
2013-12-23,43.02,43.87,43.02,43.58,915900,43.58
2013-12-20,43.07,43.58,42.86,43.55,1660200,43.55
2013-12-19,43.03,43.20,42.81,42.96,899700,42.96
2013-12-18,42.65,43.11,42.28,43.10,873300,43.10
2013-12-17,42.69,42.80,42.29,42.70,1175000,42.70
2013-12-16,43.16,43.40,42.78,42.80,793700,42.80
2013-12-13,42.78,43.12,42.59,43.02,919500,43.02
2013-12-12,42.49,42.82,42.41,42.63,930400,42.63
2013-12-11,42.74,42.85,42.32,42.50,1899100,42.50
2013-12-10,43.29,43.48,42.64,42.81,1198600,42.81
2013-12-09,43.52,43.69,43.37,43.41,855500,43.41
2013-12-06,43.82,43.82,43.37,43.44,929800,43.44
2013-12-05,43.21,43.52,43.05,43.18,1282700,43.18
2013-12-04,42.97,43.57,42.88,43.31,1003900,43.31
