Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,69.08,69.69,68.56,69.21,1398900,69.21
2013-12-31,68.91,69.76,68.81,69.66,1183600,69.66
2013-12-30,69.00,69.33,68.34,68.84,932500,68.84
2013-12-27,68.97,69.45,68.51,68.76,831300,68.76
2013-12-26,68.56,69.34,68.48,69.03,602100,69.03
2013-12-24,68.62,68.79,68.00,68.50,462900,68.50
2013-12-23,67.99,68.76,67.62,68.68,1092900,68.68
2013-12-20,68.16,68.21,67.25,67.61,3162100,67.61
2013-12-19,67.71,67.79,66.51,66.80,1482400,66.80
2013-12-18,66.64,67.61,65.46,67.55,2010200,67.55
2013-12-17,65.96,66.55,65.29,66.39,1829000,66.39
2013-12-16,63.49,66.99,63.28,65.88,4400600,65.88
2013-12-13,62.94,63.67,62.29,62.73,1141600,62.73
2013-12-12,62.38,62.75,62.10,62.54,2368400,62.54
2013-12-11,63.04,63.39,62.16,62.31,2096100,62.31
2013-12-10,63.25,64.01,63.19,63.20,1245300,63.20
2013-12-09,63.62,64.13,63.27,63.50,1093400,63.50
2013-12-06,64.16,64.23,63.38,63.48,1523100,63.48
2013-12-05,62.67,63.87,62.39,63.58,1999500,63.58
2013-12-04,62.16,63.15,61.92,62.84,1398000,62.84
