Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,47.51,47.61,46.45,46.70,1532600,46.70
2013-12-31,47.76,47.98,47.26,47.51,1318200,47.51
2013-12-30,47.50,48.23,47.31,47.66,1195500,47.66
2013-12-27,47.25,47.50,47.00,47.39,800800,47.39
2013-12-26,46.63,47.38,46.41,47.13,1582500,47.13
2013-12-24,45.92,46.42,45.77,46.30,570300,46.30
2013-12-23,45.61,46.29,45.40,46.14,2687500,46.14
2013-12-20,45.60,45.99,44.01,45.62,8721600,45.62
2013-12-19,48.10,48.10,47.41,48.01,1274000,48.01
2013-12-18,47.00,48.02,46.58,48.02,1863000,48.02
2013-12-17,46.92,47.26,46.83,47.10,1724800,47.10
2013-12-16,46.32,47.06,46.32,47.01,1341200,47.01
2013-12-13,46.69,46.73,45.78,46.24,2118800,46.24
2013-12-12,46.92,47.18,46.16,46.41,2029200,46.41
2013-12-11,47.74,47.99,46.99,47.05,1635700,47.05
2013-12-10,47.49,48.13,47.26,47.79,1323500,47.79
2013-12-09,47.62,48.12,47.35,47.50,1384200,47.50
2013-12-06,47.18,47.70,46.95,47.45,1579600,47.45
2013-12-05,46.82,46.95,46.22,46.57,1147000,46.57
2013-12-04,47.62,47.64,46.05,46.75,2669400,46.75
