Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,54.83,55.22,54.19,54.71,43195500,54.71
2013-12-31,54.12,54.86,53.91,54.65,43076200,54.65
2013-12-30,54.93,55.18,53.43,53.71,68253400,53.71
2013-12-27,57.48,57.68,55.25,55.44,60337300,55.44
2013-12-26,58.32,58.38,57.37,57.73,55049500,57.73
2013-12-24,58.27,58.58,56.91,57.96,46617800,57.96
2013-12-23,55.50,58.32,55.45,57.77,98153400,57.77
2013-12-20,54.93,55.15,54.23,55.12,238781400,55.12
2013-12-19,54.33,55.19,53.95,55.05,89753200,55.05
2013-12-18,54.86,55.89,53.75,55.57,75848800,55.57
2013-12-17,54.76,55.18,54.24,54.86,78516900,54.86
2013-12-16,53.25,54.50,52.91,53.81,84977600,53.81
2013-12-13,51.66,53.50,51.34,53.32,82538000,53.32
2013-12-12,51.05,52.07,50.66,51.83,92487100,51.83
2013-12-11,50.55,50.77,49.01,49.38,60335100,49.38
2013-12-10,48.64,50.77,48.54,50.25,68314500,50.25
2013-12-09,48.09,48.97,47.74,48.84,35932100,48.84
2013-12-06,48.98,49.39,47.71,47.94,42938000,47.94
2013-12-05,48.15,48.70,47.87,48.34,43855000,48.34
2013-12-04,46.46,48.77,46.26,48.62,60489500,48.62
