Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,65.04,66.41,64.97,66.06,1154000,66.06
2013-12-31,65.42,66.18,64.86,64.97,1271300,64.97
2013-12-30,65.03,65.65,64.68,65.44,955300,65.44
2013-12-27,65.17,65.52,64.83,64.99,578700,64.99
2013-12-26,65.52,65.52,64.71,64.95,556900,64.95
2013-12-24,65.28,66.04,65.21,65.55,372500,65.55
2013-12-23,64.55,65.47,64.46,65.33,1283700,65.33
2013-12-20,63.90,64.55,63.63,64.49,1767200,64.49
2013-12-19,63.68,63.84,63.19,63.58,807200,63.58
2013-12-18,63.60,64.01,62.84,63.94,1136300,63.94
2013-12-17,63.68,64.00,63.50,63.67,884800,63.67
2013-12-16,64.07,64.36,63.16,63.68,1080900,63.68
2013-12-13,64.13,64.72,63.70,63.96,2001100,63.96
2013-12-12,64.63,64.75,63.92,64.20,1424200,64.20
2013-12-11,65.15,65.35,64.58,64.66,1268100,64.66
2013-12-10,65.72,65.90,65.22,65.36,964100,65.10
2013-12-09,66.08,66.44,65.26,65.69,1174600,65.43
2013-12-06,66.92,66.99,65.20,65.98,1972800,65.72
2013-12-05,69.55,69.95,67.05,67.60,1777100,67.33
2013-12-04,69.00,69.26,68.39,69.14,1051200,68.86
