Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,53.40,53.55,52.79,53.00,986800,53.00
2013-12-31,53.36,53.73,53.36,53.68,713300,53.68
2013-12-30,52.87,53.38,52.85,53.29,795800,53.29
2013-12-27,52.89,53.07,52.65,52.75,518400,52.75
2013-12-26,52.77,52.77,52.37,52.66,1146200,52.66
2013-12-24,52.43,52.59,52.32,52.47,766400,52.47
2013-12-23,52.80,52.87,52.37,52.49,903600,52.49
2013-12-20,52.48,52.67,52.07,52.66,1555100,52.66
2013-12-19,52.31,52.48,52.03,52.19,869400,52.19
2013-12-18,51.28,52.33,50.76,52.30,993800,52.30
2013-12-17,51.37,51.37,50.80,51.05,922600,51.05
2013-12-16,50.99,51.36,50.96,51.27,632700,51.27
2013-12-13,50.64,51.02,50.55,50.78,834000,50.78
2013-12-12,50.23,50.66,50.10,50.50,878800,50.50
2013-12-11,51.25,51.33,50.37,50.50,1267100,50.28
2013-12-10,50.70,51.27,50.61,51.24,1616000,51.02
2013-12-09,51.01,51.35,50.68,50.86,1021000,50.64
2013-12-06,50.23,51.05,50.19,50.88,832900,50.66
2013-12-05,50.34,50.49,49.74,49.80,1097200,49.58
2013-12-04,50.39,50.76,50.01,50.45,1146500,50.23
