Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,59.05,59.22,57.99,58.20,1028800,58.20
2013-12-31,58.78,59.28,58.78,59.05,550300,59.05
2013-12-30,58.59,58.97,58.50,58.72,557200,58.72
2013-12-27,59.07,59.12,58.56,58.61,555600,58.61
2013-12-26,58.52,59.00,58.28,58.88,754000,58.88
2013-12-24,58.52,58.52,58.22,58.37,277100,58.37
2013-12-23,58.04,58.44,57.87,58.39,945200,58.39
2013-12-20,57.47,58.06,57.16,57.83,2330800,57.83
2013-12-19,57.53,57.84,57.19,57.27,1045800,57.27
2013-12-18,56.59,57.47,55.90,57.47,1160800,57.47
2013-12-17,56.84,57.00,55.96,56.61,1259300,56.61
2013-12-16,112.06,113.62,112.06,113.38,1181000,56.69
2013-12-13,112.76,112.76,111.54,111.84,856400,55.92
2013-12-12,110.94,112.44,110.33,111.98,1342200,55.99
2013-12-11,110.90,111.45,110.26,110.39,891000,55.19
2013-12-10,110.58,111.65,110.58,111.13,770200,55.56
2013-12-09,112.41,112.87,110.26,111.12,731600,55.56
2013-12-06,109.39,111.19,108.48,111.16,934800,55.58
2013-12-05,108.98,109.34,108.25,108.28,750600,54.14
2013-12-04,109.28,110.12,108.19,109.11,663200,54.56
