Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,20.94,21.06,20.83,20.87,6971200,20.87
2013-12-31,21.00,21.12,20.93,21.03,4980500,21.03
2013-12-30,20.99,21.07,20.88,20.92,3811800,20.92
2013-12-27,20.91,21.11,20.89,20.92,3983500,20.92
2013-12-26,21.01,21.14,20.96,21.04,3884700,20.92
2013-12-24,20.97,21.10,20.88,20.98,1558200,20.86
2013-12-23,20.93,21.13,20.89,20.95,5619000,20.83
2013-12-20,20.57,20.86,20.57,20.81,8948500,20.69
2013-12-19,20.38,20.74,20.36,20.67,6318600,20.55
2013-12-18,20.12,20.51,20.01,20.45,8050300,20.33
2013-12-17,20.21,20.30,20.05,20.15,6034800,20.04
2013-12-16,20.55,20.56,20.31,20.35,7702300,20.23
2013-12-13,20.34,20.34,19.99,20.09,5985200,19.98
2013-12-12,20.20,20.38,20.08,20.25,6605800,20.13
2013-12-11,20.40,20.44,20.14,20.16,7680100,20.05
2013-12-10,20.18,20.45,19.95,20.31,5623100,20.19
2013-12-09,20.34,20.49,20.19,20.24,6501900,20.12
2013-12-06,20.03,20.34,19.94,20.34,7856900,20.22
2013-12-05,19.87,20.05,19.79,19.82,7331800,19.71
2013-12-04,19.99,20.22,19.76,19.88,9838200,19.77
