Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,29.92,30.01,29.07,29.11,781400,29.11
2013-12-31,29.79,30.13,29.74,30.10,489600,30.10
2013-12-30,29.72,29.79,29.66,29.75,360500,29.75
2013-12-27,29.68,29.87,29.63,29.76,307700,29.76
2013-12-26,29.50,29.86,29.50,29.67,458800,29.67
2013-12-24,29.52,29.76,29.43,29.48,191800,29.48
2013-12-23,29.38,29.89,29.23,29.57,578700,29.57
2013-12-20,28.80,29.17,28.52,29.14,1711100,29.14
2013-12-19,28.69,28.79,28.54,28.67,585700,28.67
2013-12-18,28.80,28.82,28.29,28.77,987900,28.77
2013-12-17,28.35,28.80,28.03,28.72,914300,28.72
2013-12-16,28.79,28.88,28.29,28.46,1229700,28.46
2013-12-13,28.83,28.94,28.56,28.70,841000,28.70
2013-12-12,28.56,28.87,28.39,28.78,766900,28.78
2013-12-11,29.02,29.25,28.53,28.59,697700,28.59
2013-12-10,28.92,29.16,28.89,29.04,817900,29.04
2013-12-09,29.46,29.59,28.94,28.98,707500,28.98
2013-12-06,29.29,29.46,29.11,29.38,632500,29.38
2013-12-05,29.30,29.43,28.98,29.04,936200,29.04
2013-12-04,29.46,29.69,29.39,29.41,1101400,29.41
