Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,79.82,80.20,78.79,78.87,1204100,78.87
2013-12-31,79.92,80.45,79.60,80.29,929400,80.29
2013-12-30,79.96,80.36,79.64,79.88,734000,79.88
2013-12-27,80.06,80.34,79.52,79.76,854700,79.76
2013-12-26,79.50,80.18,79.39,79.98,608100,79.98
2013-12-24,79.02,79.55,78.90,79.27,401900,79.27
2013-12-23,79.69,79.88,78.68,79.02,740800,79.02
2013-12-20,79.11,79.52,78.74,79.37,1895100,79.37
2013-12-19,77.74,79.01,77.43,78.83,1628500,78.83
2013-12-18,76.07,78.06,75.84,77.94,1710000,77.94
2013-12-17,75.96,76.50,75.44,75.80,1222500,75.80
2013-12-16,75.50,76.31,75.42,75.94,1370400,75.94
2013-12-13,75.00,75.60,74.59,74.79,1286100,74.79
2013-12-12,75.63,76.01,74.77,74.84,1536900,74.84
2013-12-11,77.88,77.97,75.32,75.59,1117600,75.59
2013-12-10,76.82,77.99,76.81,77.65,1275600,77.65
2013-12-09,77.41,77.58,76.68,76.86,1131900,76.86
2013-12-06,77.09,77.78,76.62,77.41,815100,77.41
2013-12-05,76.46,77.39,75.91,76.16,1056600,76.16
2013-12-04,76.77,78.22,76.02,76.82,1008400,76.82
