Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,78.17,78.46,76.99,77.30,1400900,77.30
2013-12-31,78.00,78.89,78.00,78.83,1367200,78.83
2013-12-30,76.98,77.81,76.94,77.70,1071200,77.70
2013-12-27,76.92,77.06,76.44,76.90,643800,76.90
2013-12-26,76.57,77.08,76.10,76.95,706400,76.95
2013-12-24,76.00,76.58,76.00,76.53,411500,76.53
2013-12-23,76.03,76.79,75.78,76.10,1064400,75.96
2013-12-20,75.39,76.41,75.13,75.73,1728700,75.59
2013-12-19,74.78,75.31,74.16,75.22,1260000,75.08
2013-12-18,73.12,74.82,72.73,74.80,1081400,74.66
2013-12-17,73.88,73.95,72.85,73.16,808700,73.03
2013-12-16,72.80,73.89,72.73,73.66,1110800,73.52
2013-12-13,72.21,72.56,71.67,72.36,1067200,72.23
2013-12-12,72.10,72.57,71.97,72.09,1485900,71.96
2013-12-11,72.07,72.91,71.81,72.20,2983600,72.07
2013-12-10,71.72,72.21,71.58,72.08,1212500,71.95
2013-12-09,71.21,72.03,71.06,71.82,1301800,71.69
2013-12-06,70.54,70.95,70.04,70.94,867800,70.81
2013-12-05,69.45,69.96,69.12,69.61,971600,69.48
2013-12-04,69.95,70.47,68.79,69.43,1746000,69.30
