Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,75.27,75.38,74.33,74.53,605900,74.53
2013-12-31,75.42,75.60,74.92,75.46,454700,75.46
2013-12-30,75.45,75.56,74.76,75.25,508300,75.25
2013-12-27,75.07,75.68,75.02,75.46,582400,75.46
2013-12-26,74.78,75.50,74.04,75.40,555700,75.27
2013-12-24,73.80,74.52,73.33,74.46,225800,74.33
2013-12-23,73.26,73.58,72.99,73.45,810400,73.32
2013-12-20,72.96,73.63,72.82,73.04,1976600,72.91
2013-12-19,72.71,73.17,72.49,73.02,1530000,72.89
2013-12-18,72.81,73.06,71.91,72.72,1788600,72.59
2013-12-17,72.65,73.32,72.53,73.05,754400,72.92
2013-12-16,73.46,73.95,72.79,72.82,1246100,72.69
2013-12-13,73.42,74.01,73.22,73.31,734200,73.18
2013-12-12,73.94,73.95,73.29,73.44,657600,73.31
2013-12-11,75.08,75.19,73.88,74.19,887400,74.06
2013-12-10,74.82,75.53,74.63,75.06,951000,74.93
2013-12-09,74.38,74.86,74.38,74.85,540500,74.72
2013-12-06,73.87,74.40,73.44,74.40,702100,74.27
2013-12-05,72.68,73.47,72.51,73.13,804900,73.00
2013-12-04,72.27,73.24,71.93,72.94,1369800,72.81
