Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,116.63,119.94,116.63,118.37,713100,118.37
2013-12-31,120.74,120.74,119.51,119.94,388300,119.94
2013-12-30,120.46,122.38,119.38,120.30,784900,120.30
2013-12-27,120.72,121.95,119.36,120.12,883000,120.12
2013-12-26,120.36,122.27,120.32,121.59,1203600,121.59
2013-12-24,119.64,120.68,119.60,120.02,425400,120.02
2013-12-23,120.47,121.37,119.34,119.93,873000,119.93
2013-12-20,119.17,119.22,117.50,118.85,4447100,118.85
2013-12-19,120.19,120.65,118.61,118.81,774600,118.81
2013-12-18,120.90,121.43,117.87,120.49,1129100,120.49
2013-12-17,120.91,121.35,119.35,120.72,697500,120.72
2013-12-16,122.16,123.90,120.61,121.18,564300,121.18
2013-12-13,121.46,122.37,121.04,121.61,627900,121.61
2013-12-12,118.19,122.74,118.19,120.55,748400,120.55
2013-12-11,122.99,123.82,120.98,121.19,552000,121.19
2013-12-10,121.67,124.16,120.45,123.19,608500,123.19
2013-12-09,124.09,124.38,121.97,122.30,755700,122.30
2013-12-06,125.79,126.21,123.08,123.38,836800,123.38
2013-12-05,122.40,124.43,121.66,124.06,834600,124.06
2013-12-04,123.33,125.35,120.88,122.84,788100,122.84
