Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,35.47,35.75,35.27,35.63,11035500,35.63
2013-12-31,35.00,35.21,34.99,35.17,6649600,35.17
2013-12-30,34.57,35.23,34.51,35.02,7546500,35.02
2013-12-27,35.07,35.14,34.86,34.96,11248300,34.96
2013-12-26,34.77,35.04,34.56,34.98,5422400,34.98
2013-12-24,34.59,34.80,34.35,34.79,2714300,34.79
2013-12-23,34.50,34.60,34.24,34.59,6592900,34.59
2013-12-20,34.09,34.56,33.98,34.30,20909100,34.30
2013-12-19,33.50,34.07,33.32,33.97,14270300,33.97
2013-12-18,33.06,33.51,32.65,33.46,14051800,33.46
2013-12-17,32.99,32.99,32.44,32.86,9955400,32.86
2013-12-16,33.18,33.25,32.77,32.84,8359300,32.84
2013-12-13,32.72,33.16,32.43,32.93,8325500,32.93
2013-12-12,32.41,32.82,32.25,32.66,9865700,32.66
2013-12-11,33.18,33.29,32.62,32.69,9252500,32.69
2013-12-10,32.89,33.34,32.89,33.16,8126800,33.16
2013-12-09,33.36,33.40,33.00,33.10,7737300,33.10
2013-12-06,33.30,33.44,32.76,33.14,8753200,33.14
2013-12-05,32.87,32.98,32.56,32.74,9883300,32.74
2013-12-04,32.95,33.31,32.75,32.91,12886600,32.91
