Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,54.28,57.58,54.01,57.44,5404200,57.44
2013-12-31,55.85,56.22,54.30,54.64,2809700,54.64
2013-12-30,55.29,56.34,55.27,55.60,1894300,55.60
2013-12-27,55.93,56.55,55.02,55.26,1622600,55.26
2013-12-26,55.57,56.17,55.28,55.68,1755900,55.68
2013-12-24,54.70,55.89,54.66,55.29,1238300,55.29
2013-12-23,56.21,56.80,55.48,55.76,2372400,55.76
2013-12-20,57.13,57.69,55.23,55.87,4958300,55.87
2013-12-19,55.05,57.37,54.70,56.76,3317400,56.76
2013-12-18,55.61,56.17,53.45,55.42,4159700,55.42
2013-12-17,54.59,55.95,54.08,55.51,2924700,55.51
2013-12-16,54.47,55.50,53.72,54.70,2729800,54.70
2013-12-13,54.50,55.20,53.48,53.79,3435400,53.79
2013-12-12,54.07,55.47,53.07,54.39,4248600,54.39
2013-12-11,56.71,56.90,53.90,54.20,4793800,54.20
2013-12-10,56.02,57.78,55.73,56.49,5077700,56.49
2013-12-09,58.03,58.79,55.77,56.07,4466500,56.07
2013-12-06,60.23,60.48,57.75,58.01,3478100,58.01
2013-12-05,60.91,61.18,59.56,59.78,3379300,59.78
2013-12-04,59.14,61.85,59.12,60.80,4390300,60.80
