Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,4.65,4.73,4.62,4.67,15471800,4.67
2013-12-31,4.70,4.70,4.62,4.65,6763200,4.65
2013-12-30,4.68,4.71,4.68,4.70,5424800,4.70
2013-12-27,4.70,4.70,4.67,4.70,3569100,4.70
2013-12-26,4.70,4.71,4.67,4.70,4418800,4.70
2013-12-24,4.73,4.74,4.67,4.70,3949200,4.70
2013-12-23,4.69,4.72,4.68,4.69,6659900,4.69
2013-12-20,4.75,4.75,4.66,4.69,8493300,4.69
2013-12-19,4.73,4.76,4.64,4.73,12560900,4.73
2013-12-18,4.78,4.79,4.68,4.70,12857200,4.70
2013-12-17,4.94,4.94,4.61,4.78,53029400,4.78
2013-12-16,4.44,4.47,4.39,4.40,7191800,4.40
2013-12-13,4.45,4.49,4.43,4.44,6203300,4.44
2013-12-12,4.50,4.51,4.44,4.45,6669900,4.45
2013-12-11,4.60,4.64,4.53,4.53,8626300,4.53
2013-12-10,4.53,4.62,4.52,4.61,6213900,4.61
2013-12-09,4.52,4.62,4.48,4.57,14678800,4.57
2013-12-06,4.54,4.56,4.45,4.56,7866200,4.56
2013-12-05,4.54,4.55,4.40,4.43,11938200,4.43
2013-12-04,4.62,4.68,4.60,4.64,22154300,4.54
