Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,47.11,47.15,46.09,46.09,506400,46.09
2013-12-31,47.18,47.28,46.95,47.23,296700,47.23
2013-12-30,47.19,47.41,46.88,47.12,306400,47.12
2013-12-27,47.12,47.35,46.99,47.23,359300,47.23
2013-12-26,47.04,47.23,46.81,47.13,397600,47.13
2013-12-24,46.77,47.03,46.49,46.95,116700,46.95
2013-12-23,47.17,47.34,46.72,46.78,446200,46.78
2013-12-20,46.21,47.12,46.12,47.08,1021000,47.08
2013-12-19,46.32,46.37,45.75,46.15,508500,46.15
2013-12-18,46.21,46.61,45.72,46.44,951900,46.44
2013-12-17,46.10,46.35,46.00,46.27,499700,46.27
2013-12-16,45.67,46.20,45.57,46.17,706100,46.17
2013-12-13,45.44,45.63,45.27,45.59,529200,45.59
2013-12-12,45.18,45.61,45.06,45.42,510000,45.42
2013-12-11,45.60,45.62,45.12,45.18,547100,45.18
2013-12-10,45.39,45.89,45.34,45.67,1072600,45.67
2013-12-09,46.00,46.00,45.01,45.51,1424100,45.51
2013-12-06,45.62,45.85,44.74,45.84,1537700,45.84
2013-12-05,45.31,45.42,45.01,45.32,960300,45.32
2013-12-04,45.74,46.12,45.02,45.29,1513300,45.29
