Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,29.55,29.69,29.27,29.58,2165100,29.58
2013-12-31,29.79,29.87,29.37,29.58,1413400,29.58
2013-12-30,29.22,29.76,29.16,29.72,1965400,29.72
2013-12-27,29.33,29.45,29.10,29.22,1695000,29.22
2013-12-26,29.00,29.48,29.00,29.31,1989900,29.31
2013-12-24,28.50,29.06,28.40,28.78,2172700,28.78
2013-12-23,28.07,28.83,28.00,28.61,2883500,28.61
2013-12-20,27.56,28.04,27.36,27.81,4065200,27.81
2013-12-19,27.07,27.56,27.06,27.48,2261800,27.48
2013-12-18,26.60,27.33,26.52,27.25,2655500,27.25
2013-12-17,26.63,26.73,26.30,26.58,1735600,26.58
2013-12-16,26.39,26.80,26.36,26.66,2305100,26.66
2013-12-13,25.93,26.33,25.90,26.19,2360600,26.19
2013-12-12,25.89,26.16,25.29,25.91,2970700,25.91
2013-12-11,25.45,26.16,25.22,25.98,5147900,25.98
2013-12-10,25.15,25.68,25.15,25.52,2163000,25.52
2013-12-09,25.60,25.65,25.02,25.20,2360000,25.20
2013-12-06,25.38,25.64,24.68,25.55,3266900,25.55
2013-12-05,25.34,25.35,24.90,25.09,4691700,25.09
2013-12-04,26.08,26.15,25.09,25.35,5726300,25.35
