Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,27.86,27.94,27.41,27.50,41453700,27.50
2013-12-31,27.90,28.09,27.83,28.03,30306700,28.03
2013-12-30,27.84,27.98,27.80,27.89,23832300,27.89
2013-12-27,27.84,27.94,27.76,27.83,18990700,27.83
2013-12-26,27.68,27.96,27.60,27.83,24765300,27.83
2013-12-24,27.38,27.66,27.36,27.61,15109700,27.61
2013-12-23,27.43,27.49,27.27,27.40,29903400,27.40
2013-12-20,27.27,27.47,27.02,27.36,78154800,27.36
2013-12-19,27.17,27.40,26.83,27.32,50749400,27.32
2013-12-18,27.03,27.47,26.84,27.41,55268800,27.19
2013-12-17,27.10,27.14,26.94,27.03,36632600,26.81
2013-12-16,26.94,27.09,26.87,26.98,40160000,26.76
2013-12-13,26.59,26.94,26.51,26.84,39833700,26.62
2013-12-12,26.50,26.70,26.48,26.54,30960200,26.33
2013-12-11,27.11,27.13,26.54,26.58,40161400,26.37
2013-12-10,27.09,27.39,27.07,27.14,30864700,26.92
2013-12-09,26.93,27.33,26.88,27.19,30725600,26.97
2013-12-06,26.77,26.98,26.68,26.94,25347300,26.72
2013-12-05,26.63,26.64,26.35,26.45,28455400,26.24
2013-12-04,26.34,26.66,26.20,26.64,44920800,26.43
