Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,20.08,20.12,19.86,20.04,4861800,20.04
2013-12-31,20.04,20.39,20.01,20.07,7078400,20.07
2013-12-30,20.16,20.23,20.07,20.20,4301100,20.20
2013-12-27,20.29,20.29,20.04,20.16,3918100,20.16
2013-12-26,20.71,20.71,20.20,20.24,3448700,20.24
2013-12-24,20.38,20.46,20.19,20.34,1849000,20.34
2013-12-23,20.52,20.56,20.34,20.39,3979900,20.39
2013-12-20,20.10,20.40,20.06,20.40,9440600,20.40
2013-12-19,20.32,20.40,19.99,20.17,5633000,20.17
2013-12-18,20.20,20.50,19.77,20.45,6306600,20.45
2013-12-17,20.17,20.30,20.06,20.25,6139400,20.25
2013-12-16,20.37,20.43,20.07,20.21,6718800,20.21
2013-12-13,20.60,20.78,20.32,20.40,7434800,20.40
2013-12-12,20.63,20.71,20.40,20.49,7570400,20.49
2013-12-11,21.00,21.05,20.56,20.61,9787600,20.61
2013-12-10,21.23,21.32,20.94,21.15,11947000,21.01
2013-12-09,21.23,21.52,21.04,21.17,116835700,21.03
2013-12-06,20.95,21.20,20.95,21.14,14394100,21.00
2013-12-05,21.22,21.27,20.69,20.82,20769200,20.68
2013-12-04,20.11,20.40,20.00,20.28,6040300,20.15
