Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,17.74,17.81,17.62,17.77,7571600,17.77
2013-12-31,17.80,17.89,17.76,17.82,5144200,17.82
2013-12-30,17.75,17.84,17.73,17.78,5497100,17.78
2013-12-27,17.75,17.85,17.73,17.77,4206000,17.77
2013-12-26,17.65,17.76,17.64,17.73,6314000,17.73
2013-12-24,17.58,17.72,17.58,17.64,2769400,17.64
2013-12-23,17.46,17.68,17.46,17.56,6694100,17.56
2013-12-20,17.40,17.65,17.36,17.43,15858800,17.43
2013-12-19,17.38,17.48,17.35,17.42,7637200,17.42
2013-12-18,17.15,17.42,17.05,17.37,11490900,17.37
2013-12-17,17.15,17.24,17.13,17.22,10011400,17.22
2013-12-16,16.98,17.11,16.94,17.05,7724900,17.05
2013-12-13,17.13,17.15,16.86,16.88,9572500,16.88
2013-12-12,16.79,17.06,16.77,17.01,10629900,17.01
2013-12-11,17.21,17.24,16.89,16.94,12721600,16.94
2013-12-10,17.03,17.37,17.02,17.26,8792000,17.26
2013-12-09,17.09,17.13,16.97,17.02,7602800,17.02
2013-12-06,16.84,17.16,16.84,17.11,10788800,17.11
2013-12-05,16.73,16.86,16.63,16.63,19715000,16.63
2013-12-04,16.72,16.93,16.63,16.78,11230900,16.78
