Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,176.95,178.38,176.36,176.89,1982100,176.89
2013-12-31,176.22,177.44,176.22,177.26,1663900,177.26
2013-12-30,176.50,177.12,175.26,175.73,1241000,175.73
2013-12-27,176.39,176.45,175.57,176.35,1716900,176.35
2013-12-26,176.60,176.76,175.18,176.45,1320100,176.45
2013-12-24,176.67,176.68,175.44,176.16,781300,176.16
2013-12-23,175.88,176.69,175.50,176.47,1585300,176.47
2013-12-20,174.66,175.79,173.75,175.16,3754300,175.16
2013-12-19,174.61,175.80,174.00,174.77,3094400,174.77
2013-12-18,171.00,174.92,169.99,174.84,4509600,174.84
2013-12-17,171.27,171.27,169.71,170.49,2856700,170.49
2013-12-16,169.31,171.49,169.09,170.95,2980000,170.95
2013-12-13,168.59,169.29,167.60,168.39,2490600,168.39
2013-12-12,166.59,168.96,166.52,168.33,2911900,168.33
2013-12-11,169.51,169.83,167.13,167.60,2977100,167.60
2013-12-10,167.87,172.20,167.52,169.73,4235400,169.73
2013-12-09,168.00,169.13,166.84,167.67,2589500,167.67
2013-12-06,167.58,167.96,164.77,167.21,2708500,167.21
2013-12-05,167.41,167.96,165.35,165.56,3564100,165.56
2013-12-04,167.31,169.93,167.31,168.70,2328200,168.70
