Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,23.67,23.74,23.31,23.53,2784600,23.53
2013-12-31,23.72,24.00,23.65,23.85,2249300,23.85
2013-12-30,23.55,23.67,23.11,23.65,1848300,23.65
2013-12-27,23.43,23.62,23.05,23.54,1605900,23.54
2013-12-26,23.63,23.87,23.45,23.47,1739100,23.47
2013-12-24,23.38,23.63,23.22,23.62,1094200,23.62
2013-12-23,23.08,23.38,23.00,23.34,2102300,23.34
2013-12-20,22.87,22.97,22.46,22.93,3618300,22.93
2013-12-19,22.54,22.82,22.38,22.78,2924100,22.78
2013-12-18,22.82,22.82,22.00,22.59,3133500,22.59
2013-12-17,22.82,22.92,22.64,22.72,2473700,22.72
2013-12-16,22.71,22.95,22.63,22.76,1867500,22.76
2013-12-13,22.44,22.69,22.33,22.62,1853100,22.62
2013-12-12,22.40,22.48,22.15,22.33,2480700,22.33
2013-12-11,22.38,22.57,22.12,22.43,2950100,22.43
2013-12-10,22.41,22.69,22.30,22.46,2634700,22.46
2013-12-09,22.61,22.88,22.37,22.45,3051800,22.45
2013-12-06,22.30,22.57,22.07,22.56,3185900,22.56
2013-12-05,21.33,22.02,21.29,21.99,8304400,21.99
2013-12-04,21.24,21.74,21.14,21.29,2278000,21.29
