Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,254.70,255.48,252.82,253.06,285100,253.06
2013-12-31,255.96,256.38,254.25,255.42,240500,255.42
2013-12-30,255.73,256.29,254.72,255.38,168800,255.38
2013-12-27,255.66,257.02,254.57,255.45,169700,255.45
2013-12-26,255.61,256.15,253.88,255.42,193900,255.42
2013-12-24,253.06,254.76,252.50,254.33,139900,254.33
2013-12-23,253.00,253.07,250.54,252.41,347700,252.41
2013-12-20,251.00,253.07,247.78,248.34,1036100,248.34
2013-12-19,255.14,256.71,252.66,253.39,397400,253.39
2013-12-18,250.93,255.10,248.69,254.82,496500,254.82
2013-12-17,255.31,256.84,249.89,250.06,349500,250.06
2013-12-16,252.15,255.28,251.19,253.92,368600,253.92
2013-12-13,251.88,253.34,251.02,251.55,311300,251.55
2013-12-12,254.00,254.80,246.86,252.03,904900,252.03
2013-12-11,256.50,258.63,253.40,254.05,310300,254.05
2013-12-10,257.16,259.27,256.57,256.71,275700,256.71
2013-12-09,258.91,259.73,256.37,257.18,308500,257.18
2013-12-06,258.74,260.00,256.11,257.78,321800,257.78
2013-12-05,255.16,257.30,254.01,255.17,233500,255.17
2013-12-04,254.89,256.28,251.00,255.05,516800,255.05
