Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,50.47,50.67,49.63,50.01,7414400,50.01
2013-12-31,50.45,50.82,50.19,50.75,5390300,50.75
2013-12-30,51.10,51.19,50.34,50.40,6476500,50.40
2013-12-27,51.22,51.43,51.01,51.08,4384800,51.08
2013-12-26,50.89,51.35,50.87,51.21,4573900,51.21
2013-12-24,50.28,50.89,50.25,50.68,2438800,50.68
2013-12-23,50.97,51.25,50.30,50.30,7868700,50.30
2013-12-20,49.59,50.90,49.50,50.54,16957800,50.54
2013-12-19,49.86,49.90,48.71,49.42,12961500,49.42
2013-12-18,49.07,49.98,48.80,49.91,15076400,49.91
2013-12-17,50.32,50.46,49.09,49.35,11951300,49.35
2013-12-16,49.73,50.35,49.62,50.13,9260000,50.13
2013-12-13,49.26,49.70,49.01,49.39,9402900,49.39
2013-12-12,49.06,49.85,48.85,49.59,13261500,49.59
2013-12-11,49.56,49.96,48.82,48.99,13104800,48.99
2013-12-10,49.56,50.04,49.14,49.43,13570300,49.43
2013-12-09,50.70,50.75,49.73,49.91,9755100,49.91
2013-12-06,51.06,51.10,50.35,50.56,8582700,50.56
2013-12-05,50.49,50.90,50.21,50.48,9211600,50.48
2013-12-04,51.62,51.72,49.96,50.62,17674300,50.62
