Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,81.93,81.93,79.92,80.20,742900,80.20
2013-12-31,81.71,82.25,81.08,81.85,555800,81.85
2013-12-30,83.03,83.27,81.31,81.70,1017900,81.70
2013-12-27,84.91,85.40,82.92,83.36,429400,83.36
2013-12-26,84.09,85.65,84.09,84.50,494600,84.50
2013-12-24,83.46,84.39,83.30,83.79,154500,83.79
2013-12-23,83.89,83.99,83.15,83.65,338400,83.65
2013-12-20,83.00,83.53,82.50,83.39,685300,83.39
2013-12-19,84.39,84.39,82.63,83.03,500500,83.03
2013-12-18,82.92,84.49,81.35,84.39,699300,84.39
2013-12-17,81.07,83.59,80.90,83.04,911600,83.04
2013-12-16,79.14,81.08,79.14,80.68,577100,80.68
2013-12-13,79.59,80.11,78.49,78.97,562200,78.97
2013-12-12,80.00,80.44,78.64,79.36,719100,79.36
2013-12-11,82.63,83.18,79.99,80.29,710700,80.29
2013-12-10,82.03,84.33,81.35,82.43,1172700,82.43
2013-12-09,81.21,81.95,80.63,80.99,352000,80.99
2013-12-06,81.59,82.24,80.44,81.28,393400,81.28
2013-12-05,81.01,82.32,80.15,81.19,645400,81.19
2013-12-04,79.35,81.68,79.28,81.34,703200,81.34
