Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,54.89,55.18,54.56,54.58,2326100,54.58
2013-12-31,55.16,55.16,54.69,55.01,776800,55.01
2013-12-30,54.43,55.05,54.39,54.97,892700,54.97
2013-12-27,54.01,54.55,54.00,54.40,1178000,54.40
2013-12-26,53.46,54.25,53.19,54.16,1066500,54.16
2013-12-24,53.33,53.75,53.20,53.45,449300,53.45
2013-12-23,52.90,53.22,52.59,53.16,1585900,53.16
2013-12-20,50.22,52.72,50.22,52.49,1510700,52.49
2013-12-19,52.10,52.97,52.10,52.27,1662500,52.27
2013-12-18,51.70,52.48,51.13,52.45,1275400,52.45
2013-12-17,51.08,51.61,51.00,51.53,850800,51.53
2013-12-16,51.76,52.02,51.11,51.31,791000,51.31
2013-12-13,51.45,52.11,51.37,51.76,598300,51.76
2013-12-12,51.42,51.85,51.37,51.48,938100,51.48
2013-12-11,52.29,52.42,51.56,51.61,898700,51.61
2013-12-10,52.29,52.69,52.07,52.25,974100,52.25
2013-12-09,51.76,52.44,51.52,52.41,1489400,52.41
2013-12-06,52.77,52.92,51.70,51.76,1898500,51.76
2013-12-05,52.11,52.58,51.41,52.37,2764600,52.37
2013-12-04,52.67,52.88,51.01,52.07,4121300,52.07
