Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,53.15,53.69,53.08,53.54,2575100,53.54
2013-12-31,53.36,53.73,53.11,53.57,2408300,53.57
2013-12-30,53.20,53.55,53.00,53.44,1468400,53.44
2013-12-27,53.22,53.24,52.86,53.20,1540700,53.20
2013-12-26,53.09,53.47,52.82,53.05,1467800,53.05
2013-12-24,53.00,53.33,52.76,53.09,787500,53.09
2013-12-23,53.48,53.56,52.90,52.96,2116800,52.96
2013-12-20,52.81,53.32,52.67,53.11,3759600,53.11
2013-12-19,54.26,54.26,52.43,52.58,3333300,52.58
2013-12-18,53.85,54.75,53.06,54.66,3257700,54.66
2013-12-17,53.80,53.98,53.69,53.83,2060400,53.83
2013-12-16,54.00,54.21,53.58,53.68,2034500,53.68
2013-12-13,53.61,54.40,53.60,53.91,1790300,53.91
2013-12-12,54.22,54.33,53.31,53.64,2400900,53.64
2013-12-11,55.55,55.64,54.20,54.22,2186400,54.22
2013-12-10,55.45,55.85,55.40,55.52,1663100,55.52
2013-12-09,55.15,55.49,54.85,55.38,1919700,55.38
2013-12-06,55.47,55.58,54.97,55.16,1433000,55.16
2013-12-05,55.11,55.48,54.65,55.18,2137100,55.18
2013-12-04,55.01,55.55,54.51,55.11,2301600,55.11
