Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,36.33,36.43,36.00,36.21,2100000,36.21
2013-12-31,36.57,36.63,36.22,36.32,2540900,36.32
2013-12-30,36.52,36.67,36.40,36.60,1628300,36.60
2013-12-27,36.45,36.59,36.27,36.50,2242500,36.50
2013-12-26,36.47,36.67,36.35,36.48,1940400,36.48
2013-12-24,36.20,36.49,36.14,36.36,966600,36.36
2013-12-23,36.25,36.46,36.13,36.22,2579100,36.22
2013-12-20,35.83,36.17,35.63,36.08,3694000,36.08
2013-12-19,36.73,36.73,35.60,35.80,2927400,35.80
2013-12-18,36.46,36.88,35.75,36.84,5084800,36.84
2013-12-17,36.02,36.34,35.84,36.32,3180500,36.32
2013-12-16,35.77,36.89,35.70,36.06,3140800,36.06
2013-12-13,35.74,36.27,35.66,35.77,1870700,35.77
2013-12-12,35.84,35.90,35.50,35.66,3393500,35.66
2013-12-11,36.95,36.95,35.81,35.84,3110000,35.84
2013-12-10,36.85,37.24,36.78,36.86,2795500,36.86
2013-12-09,36.56,36.91,36.03,36.87,2193600,36.87
2013-12-06,36.75,36.83,36.34,36.57,2331200,36.57
2013-12-05,36.25,36.69,36.09,36.49,2555400,36.49
2013-12-04,35.71,36.69,35.67,36.49,3310200,36.49
