Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,82.11,82.57,81.80,82.02,4253400,82.02
2013-12-31,81.99,82.47,81.72,82.34,4493600,82.34
2013-12-30,81.67,81.98,81.46,81.94,3526400,81.94
2013-12-27,81.65,82.24,81.22,81.64,3961900,81.64
2013-12-26,80.84,81.74,80.81,81.55,3848800,81.55
2013-12-24,80.56,80.96,80.56,80.64,1819800,80.64
2013-12-23,80.07,80.92,80.04,80.56,3941300,80.56
2013-12-20,80.18,80.83,80.04,80.04,11232900,80.04
2013-12-19,80.08,80.47,79.64,79.95,6620800,79.95
2013-12-18,78.80,80.06,78.31,80.05,8170300,80.05
2013-12-17,79.31,79.37,78.61,78.62,6226000,78.62
2013-12-16,79.21,79.76,78.93,79.10,7099700,79.10
2013-12-13,79.09,79.57,78.52,79.01,6027100,79.01
2013-12-12,78.99,79.20,78.28,78.53,8535200,78.53
2013-12-11,78.38,79.81,78.38,79.00,7834500,79.00
2013-12-10,79.32,79.93,78.40,78.61,7448400,78.61
2013-12-09,79.91,80.60,79.53,79.60,5799800,79.60
2013-12-06,79.08,80.05,78.81,79.84,5094600,79.84
2013-12-05,78.32,79.54,78.27,78.54,6264900,78.54
2013-12-04,78.15,78.75,77.70,78.40,7148800,78.40
