Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,69.19,69.25,68.42,68.56,1022500,68.56
2013-12-31,69.17,69.60,68.93,69.24,451000,69.24
2013-12-30,68.97,69.23,68.68,68.99,530400,68.99
2013-12-27,69.31,69.61,68.77,69.05,461300,69.05
2013-12-26,69.46,69.75,69.12,69.26,463100,69.26
2013-12-24,68.68,69.30,68.52,69.22,360800,69.22
2013-12-23,68.40,68.96,68.15,68.73,921500,68.73
2013-12-20,68.48,68.55,67.24,68.05,2637100,68.05
2013-12-19,67.65,68.56,67.43,68.20,930600,68.20
2013-12-18,66.97,67.76,66.51,67.69,1923900,67.69
2013-12-17,67.51,67.68,66.79,67.14,1085700,67.14
2013-12-16,68.06,68.19,67.47,67.71,1051100,67.71
2013-12-13,68.05,68.42,67.31,67.51,1049600,67.51
2013-12-12,68.05,68.37,67.46,68.23,919500,68.02
2013-12-11,69.23,69.56,68.07,68.21,855100,68.00
2013-12-10,68.63,69.65,68.63,69.36,830000,69.15
2013-12-09,68.46,69.06,68.39,68.95,1255500,68.74
2013-12-06,68.13,68.56,68.02,68.53,1111400,68.32
2013-12-05,66.70,67.84,66.26,67.61,1171800,67.40
2013-12-04,65.94,66.68,65.60,66.48,1000600,66.28
