Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,83.95,84.28,82.03,82.25,953100,82.25
2013-12-31,84.08,84.87,83.64,84.08,581600,84.08
2013-12-30,84.03,84.54,83.33,84.03,814200,84.03
2013-12-27,83.15,84.16,83.02,83.96,938100,83.96
2013-12-26,83.21,83.44,82.64,83.14,420500,83.14
2013-12-24,81.34,83.53,81.34,83.03,501700,83.03
2013-12-23,82.67,82.70,81.44,81.53,613900,81.53
2013-12-20,81.63,82.40,81.35,82.03,1549500,82.03
2013-12-19,81.55,81.86,80.68,81.67,754000,81.67
2013-12-18,81.03,81.62,80.03,81.52,1181800,81.52
2013-12-17,81.13,81.26,80.08,80.84,838000,80.84
2013-12-16,80.38,81.39,80.22,81.26,1250100,81.26
2013-12-13,79.62,80.03,78.63,79.52,973800,79.52
2013-12-12,78.52,80.67,78.52,79.81,1350300,79.81
2013-12-11,79.51,79.82,78.19,78.42,1000500,78.42
2013-12-10,79.71,81.03,79.20,79.34,1227000,79.34
2013-12-09,79.94,80.56,79.05,79.49,1139000,79.49
2013-12-06,81.35,81.35,79.51,79.83,788800,79.83
2013-12-05,81.00,81.00,79.66,80.23,1172700,80.23
2013-12-04,79.75,81.09,78.90,80.97,1581700,80.97
