Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,27.88,28.22,27.45,27.66,13028200,27.66
2013-12-31,27.92,28.30,27.83,27.98,9961400,27.98
2013-12-30,28.24,28.26,27.95,28.07,7302600,28.07
2013-12-27,28.43,28.44,28.16,28.19,6848300,28.19
2013-12-26,28.20,28.70,28.19,28.31,7792300,28.31
2013-12-24,28.00,28.20,27.87,28.16,4983400,28.16
2013-12-23,27.99,28.10,27.75,28.05,9427700,28.05
2013-12-20,28.08,28.19,27.79,27.79,20434900,27.79
2013-12-19,27.55,28.23,27.51,28.04,15935700,28.04
2013-12-18,27.37,27.52,26.65,27.51,15130600,27.51
2013-12-17,27.54,27.86,27.33,27.45,18640100,27.45
2013-12-16,26.74,27.04,26.68,26.90,12409700,26.90
2013-12-13,26.67,26.88,26.29,26.77,11757700,26.77
2013-12-12,27.05,27.11,26.42,26.60,13422400,26.60
2013-12-11,26.85,27.18,26.85,26.99,15751300,26.99
2013-12-10,27.00,27.27,26.80,27.04,14763100,27.04
2013-12-09,27.61,27.68,27.20,27.25,15482100,27.25
2013-12-06,27.61,28.11,27.59,27.70,17175400,27.56
2013-12-05,28.15,28.18,27.03,27.25,22038900,27.11
2013-12-04,28.05,28.70,27.99,28.13,34062500,27.98
