Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,41.26,41.26,40.89,41.03,427700,41.03
2013-12-31,41.43,41.51,41.02,41.28,605000,41.28
2013-12-30,41.13,41.45,41.05,41.27,646400,41.27
2013-12-27,41.20,41.44,41.08,41.21,276100,41.21
2013-12-26,41.43,41.43,41.14,41.23,289700,41.23
2013-12-24,41.22,41.39,41.09,41.29,274600,41.29
2013-12-23,41.31,41.31,40.91,41.11,671600,41.11
2013-12-20,40.97,41.46,40.87,41.27,1130900,41.27
2013-12-19,41.15,41.32,40.89,41.05,523700,41.05
2013-12-18,40.05,41.26,39.90,41.25,897800,41.25
2013-12-17,40.04,40.18,39.45,40.05,549300,40.05
2013-12-16,40.03,40.35,39.84,40.10,448400,40.10
2013-12-13,40.29,40.41,39.67,39.88,566800,39.88
2013-12-12,40.54,40.56,40.13,40.25,694400,40.25
2013-12-11,41.50,41.50,40.25,40.51,1063300,40.51
2013-12-10,42.10,42.18,41.40,41.49,810800,41.49
2013-12-09,41.67,42.50,41.65,42.19,1164500,42.19
2013-12-06,41.46,41.75,41.32,41.57,1152000,41.57
2013-12-05,39.85,42.43,39.85,41.00,2318900,41.00
2013-12-04,39.51,40.33,39.47,40.21,1128700,40.21
