Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,85.98,86.50,85.47,85.65,346600,85.65
2013-12-31,85.90,86.28,85.67,85.98,292900,85.98
2013-12-30,86.02,86.43,85.90,85.99,368000,85.99
2013-12-27,86.40,86.42,85.83,85.94,180300,85.94
2013-12-26,86.17,86.40,85.70,86.12,235900,86.12
2013-12-24,85.62,86.36,85.13,86.07,94300,86.07
2013-12-23,86.31,86.59,85.68,85.75,270400,85.36
2013-12-20,85.34,85.95,84.85,85.64,1996100,85.25
2013-12-19,85.19,85.59,84.78,85.10,706000,84.71
2013-12-18,84.06,85.56,83.05,85.54,603000,85.15
2013-12-17,84.14,84.64,83.51,84.05,475000,83.67
2013-12-16,84.74,85.00,83.69,84.19,616200,83.81
2013-12-13,85.03,85.59,84.56,84.70,335300,84.31
2013-12-12,84.95,85.41,84.32,84.94,420800,84.55
2013-12-11,86.01,86.49,84.92,85.07,451200,84.68
2013-12-10,86.22,86.43,85.46,85.96,275900,85.57
2013-12-09,86.46,86.87,85.99,86.29,255600,85.90
2013-12-06,85.75,86.33,85.36,86.31,320900,85.92
2013-12-05,84.70,85.74,84.45,84.75,484600,84.36
2013-12-04,86.12,86.49,84.58,85.25,380300,84.86
